flight.identification.id,flight.identification.row,flight.identification.number.default,flight.identification.number.alternative,flight.identification.callsign,flight.identification.codeshare,flight.status.live,flight.status.text,flight.status.icon,flight.status.estimated,flight.status.ambiguous,flight.status.generic.status.text,flight.status.generic.status.type,flight.status.generic.status.color,flight.status.generic.status.diverted,flight.status.generic.eventTime.utc,flight.status.generic.eventTime.local,flight.aircraft.model.code,flight.aircraft.model.text,flight.aircraft.registration,flight.aircraft.country.id,flight.aircraft.country.name,flight.aircraft.country.alpha2,flight.aircraft.country.alpha3,flight.aircraft.hex,flight.aircraft.restricted,flight.aircraft.serialNo,flight.aircraft.age.availability,flight.aircraft.availability.serialNo,flight.aircraft.availability.age,flight.owner.name,flight.owner.code.iata,flight.owner.code.icao,flight.owner.logo,flight.airline.name,flight.airline.code.iata,flight.airline.code.icao,flight.airline.short,flight.airport.origin.code.iata,flight.airport.origin.code.icao,flight.airport.origin.timezone.name,flight.airport.origin.timezone.offset,flight.airport.origin.timezone.abbr,flight.airport.origin.timezone.abbrName,flight.airport.origin.timezone.isDst,flight.airport.origin.info.terminal,flight.airport.origin.info.baggage,flight.airport.origin.info.gate,flight.airport.origin.name,flight.airport.origin.position.latitude,flight.airport.origin.position.longitude,flight.airport.origin.position.country.name,flight.airport.origin.position.country.code,flight.airport.origin.position.country.id,flight.airport.origin.position.region.city,flight.airport.origin.visible,flight.airport.destination.timezone.name,flight.airport.destination.timezone.offset,flight.airport.destination.timezone.abbr,flight.airport.destination.timezone.abbrName,flight.airport.destination.timezone.isDst,flight.airport.destination.info.terminal,flight.airport.destination.info.baggage,flight.airport.destination.info.gate,flight.airport.real,flight.time.scheduled.departure,flight.time.scheduled.arrival,flight.time.real.departure,flight.time.real.arrival,flight.time.estimated.departure,flight.time.estimated.arrival,flight.time.other.eta,flight.time.other.duration,flight.aircraft.images,flight.owner
32ae8716,5431011207,X98702,4X8702,NVD8702,,True,Estimated 00:45,green,,False,estimated,arrival,green,,1698965120.0,1698972320.0,A320,Airbus A320-232,9H-MLY,136.0,Malta,MT,MLT,4D2476,False,,True,True,True,Avion Express Malta,4X,MLH,,Avion Express,X9,NVD,Avion Express,HRG,HEGN,Africa/Cairo,7200,EET,Eastern European Time,False,1,,,Hurghada International Airport,27.17831,33.799431,Egypt,EG,66,Hurghada,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1698948000,1698965700,1698948408.0,,,1698965120.0,1698965120.0,,,
32af38bc,5430893264,LO773,,LOT773,,True,Estimated 00:38,green,,False,estimated,arrival,green,,1698964736.0,1698971936.0,E195,Embraer E195LR,SP-LNL,176.0,Poland,PL,POL,48ADAB,False,,True,True,True,LOT,LO,LOT,s3:LO_LOT.png,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,241,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1698962100,1698966000,1698962593.0,,,1698964736.0,1698964736.0,,,
,5433532969,W68052,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,320,,,,,,,,,,,,,,,,,Wizz Air,W6,WZZ,Wizz Air,MXP,LIMC,Europe/Rome,3600,CET,Central European Time,False,1,,,Milan Malpensa Airport,45.6306,8.728111,Italy,IT,109,Milan,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1698957300,1698966900,,,,,,,,
32aea7ef,5433923826,,,GJT48P,,True,Estimated 01:19,green,,False,estimated,arrival,green,,1698967179.0,1698974379.0,B738,Boeing 737-8FE,LY-UNO,127.0,Lithuania,LT,LTU,503D3D,False,,True,True,True,Getjet Airlines,GW,GJT,s3:GW_GJT.png,GetJet Airlines,GW,GJT,Getjet Airlines,HRG,HEGN,Africa/Cairo,7200,EET,Eastern European Time,False,,,,Hurghada International Airport,27.17831,33.799431,Egypt,EG,66,Hurghada,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1698950700,1698968280,1698950885.0,,,1698967179.0,1698967179.0,,,
32aee52f,5434286128,FH709,,FHY709,,True,Estimated 01:30,green,,False,estimated,arrival,green,,1698967808.0,1698975008.0,A320,Airbus A320-214,TC-FHN,228.0,Turkey,TR,TUR,4B990E,False,,True,True,True,Freebird Airlines,FH,FHY,,Freebird Airlines,FH,FHY,Freebird Airlines,AYT,LTAI,Europe/Istanbul,10800,+03,,False,,,,Antalya Airport,36.898731,30.800461,Turkey,TR,228,Antalya,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1698957000,1698969240,1698956790.0,,,1698967808.0,1698967808.0,,,
32aeecbd,5431141671,U57132,,SEU7132,,True,Estimated 02:36,green,,False,estimated,arrival,green,,1698971776.0,1698978976.0,B738,Boeing 737-8KN,9H-SAU,136.0,Malta,MT,MLT,4D24B6,False,,True,True,True,SkyUp Europe,U5,SEU,,SkyUp Airlines,PQ,SQP,SkyUp Airlines,SSH,HESH,Africa/Cairo,7200,EET,Eastern European Time,False,,,,Sharm el-Sheikh International Airport,27.97728,34.394951,Egypt,EG,66,Sharm el-Sheikh,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1698955200,1698973500,1698955896.0,,,1698971776.0,1698971776.0,,,
,5434193988,,,BCS18D,,False,Scheduled,,,False,scheduled,arrival,gray,,,,B738,Boeing 737-883(SF),TF-BBT,101.0,Iceland,IS,ISL,4CC56B,False,,True,True,True,Bluebird Nordic,BO,BBD,s3:BO_BBD.png,Bluebird Nordic,BO,BBD,Bluebird Nordic,LEJ,EDDP,Europe/Berlin,3600,CET,Central European Time,False,,,,Leipzig Halle Airport,51.432442,12.24163,Germany,DE,83,Leipzig,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1698983400,1698989640,,,1698984900.0,,,,,
,5431254255,BT341,,BTI3ZB,,False,Scheduled,,,False,scheduled,arrival,gray,,,,BCS3,Airbus A220-300,YL-AAT,121.0,Latvia,LV,LVA,502D10,False,,True,True,True,Air Baltic,BT,BTI,s3:BT_BTI.png,Air Baltic,BT,BTI,Air Baltic,RIX,EVRA,Europe/Riga,7200,EET,Eastern European Time,False,,,,Riga International Airport,56.923611,23.971109,Latvia,LV,121,Riga,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1698989100,1698992100,,,1698989580.0,,,,,
,5431301787,FR198,LW198,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,320,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,VIE,LOWW,Europe/Vienna,3600,CET,Central European Time,False,1,,,Vienna International Airport,48.110271,16.569719,Austria,AT,15,Vienna,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1698987300,1698994200,,,1698987300.0,,,,,
,5431241419,AY1101,N71101,FIN3V,['JL9347'],False,Scheduled,,,False,scheduled,arrival,gray,,,,AT75,ATR 72-500,OH-ATE,75.0,Finland,FI,FIN,4601F2,False,,True,True,True,NORRA,N7,FCM,s3:FC_FCM.png,Finnair,AY,FIN,Finnair,HEL,EFHK,Europe/Helsinki,7200,EET,Eastern European Time,False,2,,211,Helsinki Vantaa Airport,60.325657,24.968779,Finland,FI,75,Helsinki,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1698990000,1698996000,,,1698990600.0,,,,,
,5431356784,LO777,,LOT7AK,,False,Scheduled,,,False,scheduled,arrival,gray,,,,B38M,Boeing 737 MAX 8,SP-LVC,176.0,Poland,PL,POL,48AF02,False,,True,True,True,LOT,LO,LOT,s3:LO_LOT.png,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,241,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1698992100,1698996300,,,1698993000.0,,,,,
,5431433436,TK1407,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73J,,,,,,,,,,,,,,,,,Turkish Airlines,TK,THY,Turkish Airlines,IST,LTFM,Europe/Istanbul,10800,+03,,False,,,F4B,Istanbul Airport,41.267052,28.729757,Turkey,TR,228,Istanbul,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1698991500,1699002300,,,1698991500.0,,,,,
,5431302620,FR1834,RR1834,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,BRE,EDDW,Europe/Berlin,3600,CET,Central European Time,False,2,,B04,Bremen Airport,53.047501,8.786667,Germany,DE,83,Bremen,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1698996300,1699002900,,,1698996300.0,,,,,
